Year,Month,Day,Magnitude,Location,Longitude,Latitude,Intensity,Hypocenter_Lat,Hypocenter_Lon,Hypocenter_Depth_km,Vs30_estimated,NERHP_class,Rrup [km],R [km],Rhyp [km],Rasp [km],Rasp max [km],Rasp pond slip [km],Period,Rp [km]
1835,2.0,20.0,8.5,Arauco,-73.3163,-37.2479,8,-36.13,-73.35,35.49,-999.0,-999,28.7745978753324,35.61646173321597,129.06725303169085,111.61807693838925,111.6180769509155,147.39031162703245,0,47.617831053531766
1835,2.0,20.0,8.5,Calbuco,-73.1314,-41.7707,5,-36.13,-73.35,35.49,-999.0,-999,310.75005978587734,311.45811037831857,627.4911959095982,325.9970823341342,612.0294278245345,477.0171831591267,0,399.24938743622965
1835,2.0,20.0,8.5,Caucague,,,5,-36.13,-73.35,35.49,-999.0,-999,,,,,,,0,
1835,2.0,20.0,8.5,Cauquenes,-72.3283,-35.9663,8,-36.13,-73.35,35.49,388.0,-999,46.660176916759966,51.163727125864206,100.32547858029717,108.38710533758793,108.3871063237126,221.65388506838732,0,76.49399505802353
1835,2.0,20.0,8.5,Caylin,-73.6139,-41.8161,5,-36.13,-73.35,35.49,-999.0,-999,314.11008573561304,314.8105792763971,632.6526852272759,326.9700244596988,616.6184009186421,479.8993267131644,0,400.90554000184073
1835,2.0,20.0,8.5,Chillán,-72.1039,-36.6083,8,-36.13,-73.35,35.49,-999.0,-999,63.06598696558589,66.46708640710831,128.76882616950041,128.21247998422453,128.21248114641145,205.71925284800167,0,95.63610298893747
1835,2.0,20.0,8.5,Chiloe,-73.7735,-42.4743,5,-36.13,-73.35,35.49,-999.0,-999,386.6725472429111,387.24180256633946,706.1896896806662,399.68037697308995,690.0895722182594,553.0113783024293,0,482.0424605473169
1835,2.0,20.0,8.5,Coelemu,-72.7038,-36.4933,8,-36.13,-73.35,35.49,-999.0,-999,40.937663132944245,46.00485981168703,79.07328162777203,74.57830197953163,74.57830259632787,172.5427536069983,0,60.00348583535685
1835,2.0,20.0,8.5,Coinco,-70.9508,-34.27,6,-36.13,-73.35,35.49,-999.0,-999,234.05473337873605,234.99398520068078,302.597269561706,318.08156759582727,318.08156941065187,437.2193312347181,0,336.6385725646471
1835,2.0,20.0,8.5,Colcura,-73.1512,-37.1117,8,-36.13,-73.35,35.49,-999.0,-999,32.08336395175768,38.33923715943625,115.94668468600169,99.81190371437508,99.81190378558311,149.60896519820037,0,51.57718965922762
