"","MSK64","Rhyp","Rasp","Rasp_max","Rasp_pond","Rhf","Rhf_max","Rhf_pond","f0","residuals_Rasp_max","residuals_Rhf_max","residuals_Rhf","residuals_Rhf_pond","logf0_1","logf0_5","residuals_Rasp_max_f0","residuals_Rhf_max_f0","residuals_Rhf_f0","residuals_Rhf_pond_f0"
"45",7,84.6131212974357,124.607061282746,162.036468793659,147.595249123464,55.907395454877,217.805315280269,169.144960135381,2.57,0.232750393177832,0.458071426756841,-0.228300987904529,0.313131950967266,0,0,0.0938282927277365,0.347005705426851,-0.345956828156495,0.174157518047149
"46",7,119.898548128537,156.854391101849,175.126399358574,168.076592597337,72.1692715387443,216.369465143993,174.530496748105,0.34,0.320891591042058,0.454344884740875,0.0498378849763696,0.346032534574663,-0.468521082957745,0,0.46553054212602,0.637685116720332,0.134603318916607,0.530563821283318
"47",7,76.8401207752265,71.5835628614899,187.877600198461,143.008395744664,61.1821511435705,256.502514607133,203.022936611892,2.68385,0.400632539601651,0.550210865047491,-0.13008344626696,0.504764829618589,0,0,0.271797780467892,0.443904429714948,-0.245467750196934,0.37974865068105
"48",7,116.653278782136,117.340851917063,201.604373429747,169.09335856659,84.0839738644742,253.818787836118,204.302756799709,1.12,0.480638807003726,0.544284907676226,0.216297465325121,0.511361065312833,0,0,0.356611292380015,0.437672378379342,0.1089241216453,0.386825346376716
"49",7,88.496845250963,60.9356408027361,201.635577566474,147.349954898375,72.8158239502354,270.376747935612,216.42205934653,2.6005,0.480814401791496,0.579890477092149,0.0595540312789657,0.571851575626177,0,0,0.356797437929706,0.475117085205869,-0.0514444123344653,0.451721895530742
"50",7,106.654248984098,102.279991117367,199.672641462144,162.096074004287,76.5218243396773,256.59644699617,205.210583701725,1.4336,0.469715127783928,0.550417153137944,0.11363396107494,0.516015032219361,0,0,0.345031254619017,0.444121373221133,0.00388625661435491,0.391818301313716
"51",7,105.634832401096,84.1344381394574,207.881947992785,160.137003818607,79.2521571901189,269.076019879558,216.107614005163,2.30044,0.515428412787924,0.577173450792067,0.151826272544984,0.570325356402876,0,0,0.393491261167555,0.472259716122451,0.0429618647061482,0.450084508768228
"52",7,125.344551633013,42.0884222598728,242.193929910562,164.988123473155,110.366640954811,311.382075672802,256.613963830055,3.17,0.688755547191836,0.659447402931119,0.512600991696457,0.750656849955557,0,0,0.57723290361392,0.558783371489939,0.412080438376332,0.64355108021454
"53",6.5,316.476862857259,199.88525030394,199.885251408876,288.877717651375,118.197157172792,121.808824936961,176.724371753673,2.75053,-0.0290774284705078,-0.369357672898874,0.0872740157316943,-0.140855048172379,0,0,-0.153688751352728,-0.497336116490448,-0.0115195295250959,-0.276477962516823
"54",6.5,327.781152134434,213.990810120729,213.990811514872,301.173701414493,128.929018655284,133.783687728625,187.83328940689,1.8167,0.0482887712583775,-0.316525264829837,0.181950109518254,-0.0768627686726549,0,0,-0.0716739378216159,-0.441774751694529,0.085346195383103,-0.207824580514921
"55",6.5,324.086945309492,209.864404011358,209.864405350584,297.337646437672,125.296816491445,129.958955547989,184.155611106221,2.61,0.0261969682213095,-0.332867484387276,0.150819281445976,-0.0976188561054343,0,0,-0.0950931456022808,-0.458961097265213,0.0534953858745069,-0.230092510498469
"56",6.5,310.735844796628,194.147101290632,194.14710236532,283.16376669831,112.856080181655,116.338528557723,171.186872262637,5.69,-0.0621245505971919,-0.395245846705232,0.0369001889329969,-0.17427220504307,0,0.755112266395071,0.241375753038333,-0.252602610836108,0.306434263282172,0.0685527414699139
"57",6.5,261.864849351819,142.490675000001,142.490675587969,233.446674776047,74.2412135452942,74.2412135852096,127.417728553897,0.88349,-0.413093325794424,-0.648324216450258,-0.419327026477342,-0.484227324446944,-0.0537983617988666,0,-0.52882653537273,-0.756884606546441,-0.507332470649922,-0.607989297035088
"58",6.5,299.35708880986,197.145233935437,197.145235759984,277.514404808112,112.415786986136,119.27069282854,166.73043650181,4.00078,-0.0447376925829358,-0.381221638381873,0.0326417898677218,-0.201960102493275,0,0,-0.170289975731456,-0.509812892360019,-0.0674152678261772,-0.342033818150275
"59",6.5,225.686107369205,115.378799768034,115.378800677251,201.404617441004,46.1234575669979,47.3379877531728,94.7676293845126,0.90016,-0.652551993409813,-0.901865423497646,-0.937871147757892,-0.794978219386517,-0.0456802895148931,0,-0.78749478267517,-1.02862651033574,-1.04126517197113,-0.946938690966931
"60",6.5,251.541258708397,158.702121330882,158.702123007463,234.377154696444,85.4800192575308,92.001884759102,130.814691130336,0.11667,-0.290840156730619,-0.527477120263735,-0.265764018878861,-0.456609298348064,-0.933040802132878,0,0.122973811964538,-0.0769420318155283,0.0175808661841551,0.0242448911003068
"61",6.5,187.379563469783,79.7318146784646,79.7318153694131,164.959685406869,37.5802846371162,41.515217976467,73.2132943707953,9.51855,-1.07183618696143,-0.975815612696524,-1.16102274495384,-1.0658494697243,0,0.97857079555246,-0.701727623255811,-0.782680466479181,-0.809850700434998,-0.775252230049269
"62",6.5,229.026626243005,136.011419213787,136.011420657668,212.343008619094,69.9051543979728,75.2029908933803,111.490218897854,3.73406,-0.465893818079944,-0.641072156873671,-0.484886178469214,-0.624395536070829,0,0,-0.616751624631946,-0.783085491092705,-0.596912417616079,-0.795238820679745
"63",6.5,169.270825738106,120.560911007241,120.560912113601,174.858067698537,98.8977383718504,112.376751643335,112.974984025909,8.00158,-0.602705047792912,-0.414766673009993,-0.106927857349009,-0.610508720970274,0,0.903175751683135,-0.247351894892058,-0.219805664004542,0.231730461552768,-0.324774726698687
"64",6.5,160.06370288426,126.680812950902,126.680813943223,172.899277839375,108.247814595601,128.242535088534,121.04651655653,0.16668,-0.546525995330686,-0.340358337019848,-0.0085164294176063,-0.538071775646087,-0.77811650821476,0,-0.240088085147323,0.022428135787662,0.215971086994426,-0.169331323071377
